"";"Artiste";"Texte";"id"
"142";"furax";". Messieurs dames un jour viendra cesseront les clans, les races. 200 frères affalés, ravaler une demie en terrasse sans se faire rafaler. Du sang sort de ses orifices et dans ses bras fallait, du courage. Papa dit ""souris fils, soit de ces braves allez"". Va falloir vivre avec le bruit des chars, son prix t'échappe. La vie confond le jour, la nuit, le gris des chats. (Boom) Y aura des bombes là sur les Champs. Y aura des mauvais gens, y aura des bons rassure-les chante. Viendra le jour où elle sera femme et faudra le assumer. Je le aurais protégé contre flammes et fous, la race humaine. Lui dirais que le monde est laid sans ignorer pourquoi le aimer. Je en oublierai mais vous continuerez pour moi les mecs. Grandit la princesse s'échappe le attend son père, balise. Si le temps perd ses charmes, la chanson verbalise. Les cris de enfants remplacés par des courants de airs minés. Et que le on soit ou pas mimé ses coups le ont terminé. Un jour viendra me restera 10 minutes un point ce est tout. Dix mille lignes, mon rire diminue puis dans un coin s'étouffe. Le pilier se brisera, et des milliers mépriseront. Sans trier mes tristes raps et plier mes crises ronflent. La barbe se endormira, elle qui ravit le velours. Dit ça sent bon le miracle, qui criera vive le loup. Et puis elle tapera sur la boîte et moi plus je tape aussi. Mais on me entendra pas, ce jour viendra mais le plus tard possible. ";25
"154";"swift guad";". Si te es perdu, que te as des questions, avec des coups je te réponds. Ici mêmes les sages penseurs arrivent à cours de raison. Appelle moi louveteau, si te es une chienne je te bouffe le téton. Appelle moi Ramses, pharaon des tours de béton. Béton, ma pyramide ce est pe t'être la tour Eiffel. Alors je impose la tyrannie parce que le amour est faible. Faible, la coupe est pleine et on est trop sur les nerfs. Je dégaine, je tire, la nasa retrouvera mon flow sur Kepler. ";26
"171";"dadju";". Tout ça me créer un déséquilibre. Là bas ce est difficile donc papa, maman sont partis. Ici ce est la merde, les sans papier sont tous en sursis. Mama laisse, papa laisse. Mama laisse, papa laisse. Voir la daronne souffrir depuis petit ça me a endurcis. Si je suis comme je suis ce est grâce à toi tu as réussi. Mama laisse, papa laisse. Mama laisse, papa laisse Mais je ne ai pas oublié, le Congo ne a plus de force. Je ne ai pas oublié, Africa ne a plus de force. Je peux parler de tout ce que on ne voit pas, des meurtres et des enfants violés. Je peux parler de tout ce que on ne voit pas, des meurtres et des enfants violés. Papa tambola , mama tambola. Papa tambola, mama tambola. ";29
"197";"black m";". Je ai mis la chemise. Comme la Tour Eiffel dès que il fait nuit tu verras que je brille. Même si ce est la crise. Je ai toute la panoplie. XX les copines et sur le té-cô toute ma team. Mes gars de la street. Je suis dans les détails. Ma coupe elle est décalée. Ce soir faut me médailler. Monsieur le agent rends moi tous mes papiers. ";33
"205";"sofiane";". On te connait pas, te es pas de chez nous. Les autres et nous ce est pas le même thème. Séries de rafales si tu fais le fou Je baiserai la France jusqu'à ce que je le aime. On te connait pas, te es pas de chez nous. Les autres et nous ce est pas le même thème. Séries de rafales si tu fais le fou Je baiserai la France jusqu'à ce que elle me aime. ";34
"210";"sofiane";"Va te faire sucer par un vampire, que des loups dans le empire, on veut pas te voir jouer là. Sur le bon Dieu ce est ve là le fuego, rallumer des pilons de la taille de Valbuena Wesh ma gueule, à quand le casse ? Calibré devant le sas, et je le ouvre, et je le ouvre. Et les mythos se entassent, cousin je te braque en face : fais le mouv', fais le mouv' !. De-spi ye a le gosse que attend, balistique pose pas tes mains sur la crosse battant Frère, ils aiment trop Satan, calibre en bouche ce est un Beretta brosse à dents Je me en branle des fans bicot, le fond du bol de riz, la fin des haricots Vi-ser' les grammes igo, compactés ce est Paris, ce est pas des Haribo. ";35
"211";"sofiane";"Un calibre en T-Max : fais ce que te as à faire La daronne, une villa : fais ce que te as à faire. On dort plus, tu dors pas : fais ce que te as à faire. WAllah w Allah w Allah : fais ce que te as à faire. Frérot une grosse peine : fais ce que te as à faire. Quand ils sont une centaine : fais ce que te as à faire Ta pute veut des vacances : fais ce que te as à faire. Roulette russe, te as que une chance : fais ce que te as à faire. ";35
"212";"sofiane";"Sors le pompe, sors le pompe Fais le mouv', fais le mouv'. Sors le pompe, sors le pompe Fais le mouv', fais le mouv'. Sors le pompe, sors le pompe Fais le mouv', fais le mouv'. Sors le pompe, sors le pompe Fais le mouv', fais le mouv'. ";35
"213";"sofiane";". On me appelle ""Touche-car"", freestyleur de tout-par Répand la blue magic, bicraveur de calcaire Fiansoman Fianso la conquête de Palerme Chibanis, chibres à le air, ni problème de salaire. Ni daron dans ce rap game, poto te es une galère. Ce clochard a voulu me saboter, que il aille niquer sa mère On me appelle ""Rompompom"", esquivez-le.com. Si je te le dis ce est que je le fais, tu verras que les poings cognent. Check on me appelle ""Pompom"", cop de Blankok. Je ai deux mains pour gifler tout le monde je ai besoin de un grand stock. Quand je croque, je fais du bruit, ""Non Fianso nous tape pas..."". Tu vois déjà mon flow, ma voix, te as qu'à me appeler papa. Pendant que te y es, avant de vriller. Patate de Croate avec une dalle de Antillais. Ta langue pliée, avant de crier. Je ai sali mon visage dans les tranchées avant de briller. Mets-toi sur le côté, je encule le reste. #Voldemort le rap français me esquive comme la peste. One two three check test on contrôle tes gestes. Ok USA je suis le best of the best. Fianso. ";35
"214";"sofiane";". Un calibre en T-Max : fais ce que te as à faire La daronne, une villa : fais ce que te as à faire. On dort plus, tu dors pas : fais ce que te as à faire. WAllah w Allah w Allah : fais ce que te as à faire. Frérot une grosse peine : fais ce que te as à faire. Quand ils sont une centaine : fais ce que te as à faire. Ta pute veut des vacances : fais ce que te as à faire. Roulette russe, te as que une chance : fais ce que te as à faire. ";35
